source_id,title,published_at,source_grade,verification_status,full_text_status,hash_scope,canonical_url,capture_type,p2_eligibility,selection_status,review_decision,reviewer,review_mode,not_for_expert_evaluation,reviewed_at,review_reason,p2_disposition
T0-PB-005,Tracking Industry in Government Contracts,2023-07-19,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/tracking-industry-in-government-contracts/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-PB-006,Examining Key Tech Areas in Government Contracts Data,2023-07-06,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/examining-key-tech-areas-in-government-contracts-data/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-TD-001,"RACER Revs Up for Checkered Flag Goal of High-Speed, Off-Road Autonomy",2022-01-13,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2022/racer-off-road-autonomy,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-TD-002,RACER's Off-Road Autonomous Vehicles Teams Navigate Third Test,2023-04-11,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2023/off-road-autonomous-vehicles,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-TD-003,A New Take on Modeling & Simulation for Improved Autonomy,2023-10-17,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2023/modeling-simulation-autonomy,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-TD-004,ACE Program Achieves World First for AI in Aerospace,2024-04-17,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2024/ace-ai-aerospace,original_webpage_metadata_only,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,DARPA官方试验/应用材料，日期和原文可核验，直接描述航空航天人工智能试验里程碑，补充试验到应用的信息。,formal_selected
T0-TD-005,DART and Coordinated Robotics Take Top Spots in the DARPA Triage Challenge Event 1,2024-10-05,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2024/dart-coordinated-robotics,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-TD-006,Onboard AI: Constraints and Limitations,2023-08-22,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/onboard-ai-constraints-and-limitations/,original_webpage_metadata_only,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,CSET原始研究网页，日期、原文和内容哈希可核验，直接讨论机载人工智能约束，补充平台部署的工程限制信息。,formal_selected
T0-IR-001,Exploring the Civil-Military Divide over Artificial Intelligence,2022-05-11,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.rand.org/pubs/research_reports/RRA1498-1.html,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-IR-002,Strategic competition in the age of AI: Emerging risks and opportunities from military use of artificial intelligence,2024-09-06,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.rand.org/pubs/research_reports/RRA3295-1.html,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,因最小样本配额和信息重复暂不纳入，可在正式材料缺失时替补。,reserve_only
T0-IR-003,AI Safety and Automation Bias,2024-11-20,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/ai-safety-and-automation-bias/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,因最小样本配额和信息重复暂不纳入，可在正式材料缺失时替补。,reserve_only
T0-IR-004,A Quantitative Assessment of Department of Defense S&T Publication Collaborations,2024-06-20,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/a-quantitative-assessment-of-department-of-defense-st-publication-collaborations/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-IR-005,Building the Tech Coalition,2024-08-13,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/building-the-tech-coalition/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-SP-007,Responsible AI Strategy and Implementation Pathway,2022-06,A,manual_pdf_opened_date_verified,page_indexed_raw_text,original_pdf_bytes,,manual_pdf_intake,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,官方国防部责任人工智能战略材料，日期可核验，直接提供治理与实施路径信息，并补充既有战略治理候选。,formal_selected
T0-SP-008,"Data, Analytics, and Artificial Intelligence Adoption Strategy",2023-06-27,A,manual_pdf_opened_date_verified,page_indexed_raw_text,original_pdf_bytes,,manual_pdf_intake,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,官方国防部数据、分析与人工智能采用战略，日期可核验，直接涉及跨部门采用和企业化推广，具有信息增量。,formal_selected
T0-IR-006,"Artificial Intelligence: DOD Should Improve Strategies, Inventory Process, and Collaboration Guidance",2022-03,B,manual_pdf_opened_date_verified,page_indexed_raw_text,original_pdf_bytes,,manual_pdf_intake,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,GAO官方监督报告，日期、原文和页级索引可核验，直接涉及国防部人工智能战略、清单和协同缺口，提供独立约束信息。,formal_selected
T0-PB-007,Artificial Intelligence: DOD Needs Department-Wide Guidance to Inform Acquisitions,2023-06,B,manual_pdf_opened_date_verified,page_indexed_raw_text,original_pdf_bytes,,manual_pdf_intake,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,GAO官方监督材料，日期和原文可核验，直接涉及国防部人工智能采购指导，提供独立的采购治理约束信息。,formal_selected
T0-IR-007,Artificial Intelligence: Actions Needed to Improve DOD's Workforce Management,2023-12,B,manual_pdf_opened_date_verified,page_indexed_raw_text,original_pdf_bytes,,manual_pdf_intake,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,因最小样本配额和信息重复暂不纳入，可在正式材料缺失时替补。,reserve_only
T0-IR-008,Artificial Intelligence and National Security,2020-11-10,B,manual_pdf_opened_date_verified,page_indexed_raw_text,original_pdf_bytes,,manual_pdf_intake,pending_human_review,background_only,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,时间窗外背景材料，不作为T0当前演进信号。,excluded_pre_window
T0-TD-007,Cloud-based intel tool AIDP rolls out to Army units globally,2024-10-09,A,manual_web_archive_received,manual_web_visible_text_captured,archive_html_bytes,https://cpeisw.army.mil/2024/10/09/277811/,html_saved_page_with_assets,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,美国陆军官方网页存档，日期、原文和归档哈希可核验，直接描述AIDP向多个陆军单位推广，提供部署扩展信息。,formal_selected
T0-TD-008,"IMSC Task Force Completes Maritime Exercise with Unmanned Systems, A.I.",2023-01-09,A,manual_web_archive_received,manual_web_visible_text_captured,archive_html_bytes,https://www.navy.mil/Press-Office/News-Stories/Article/3262053/imsc-task-force-completes-maritime-exercise-with-unmanned-systems-ai/,html_saved_page_with_assets,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,美国海军官方网页存档，日期、原文和归档哈希可核验，直接描述无人系统与人工智能海上演练，提供组织运用信息。,formal_selected
T0-CDAO-001,The CDAO is at the Helm of the DoD's New Generative AI Task Force,2023-08-10,A,blocked_original_page,not_available,none,https://www.ai.mil/,original_page_blocked,false,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,原始页面不可获得，不满足正式证据可追溯要求。,excluded_original_unavailable
T0-ENT-001,Global Force Information Management kicks off Phase 2 of data platform development,2022-10-07,A,direct_original_page_opened,printable_body_captured,direct_printable_html_bytes,https://www.dvidshub.net/news/printable/430931,direct_printable_html_fetch,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,因最小样本配额和信息重复暂不纳入，可在正式材料缺失时替补。,reserve_only
T0-PB-008,"AI Cyber Challenge Opens Registration, Adds $4 Million in Prizes, Shows Scoring Algorithm and Challenge Exemplar",2023-12-14,A,original_page_metadata_verified,metadata_only_p1b,source_page_metadata_response,https://www.darpa.mil/news/2023/ai-cyber-challenge-opens,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-IR-009,The DOD and the U.S. Tech Sector Relationship,2022-08-31,B,original_page_metadata_verified,metadata_only_p1b,source_page_metadata_response,https://cset.georgetown.edu/publication/dod-and-the-u-s-tech-sector-relationship/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
