source_id,title,publisher,published_at,url_or_path,material_type,source_grade,possible_coding_dimensions,date_status,selection_status,inclusion_reason,exclusion_reason,local_path,content_hash,notes,document_date,public_release_date,temporal_status,p1b_origin,p1b_group,manual_file_name,pdf_page_count,page_index_path,document_card_path,discovery_url,original_source_domain,original_page_verification,verification_status,access_status,manual_followup
T0-PB-005,Tracking Industry in Government Contracts,"Center for Security and Emerging Technology (CSET), Georgetown University",2023-07-19,https://cset.georgetown.edu/publication/tracking-industry-in-government-contracts/,research_report,B,budget;procurement_deployment;supply_chain;organizational_system_fit,verified,candidate,T0 date verified; independent contract-data research relevant to acquisition and industrial participation.,,,f78775f05506869c479cef30944db775a3b4f0c250d813222ec7a2d665676ac2,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-PB-006,Examining Key Tech Areas in Government Contracts Data,"Center for Security and Emerging Technology (CSET), Georgetown University",2023-07-06,https://cset.georgetown.edu/publication/examining-key-tech-areas-in-government-contracts-data/,research_report,B,budget;procurement_deployment;supply_chain;engineering_resource_conditions,verified,candidate,T0 date verified; independent contract-data research relevant to technology acquisition.,,,2ec9612ac07a9ddc4909ed3c493adbffb7b1cb5d19c25d1a459a9998522e765c,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-TD-001,"RACER Revs Up for Checkered Flag Goal of High-Speed, Off-Road Autonomy",Defense Advanced Research Projects Agency (DARPA),2022-01-13,https://www.darpa.mil/news/2022/racer-off-road-autonomy,official_test_news,A,application_maturity;integration_level;human_machine_authority;test_evaluation,verified,candidate,T0 date verified; official field-experiment and autonomy-test material.,,,7426379f5dfb01c6c15a3e8d2a8a4bedd9a536ba5635891dd8bacfac410083f7,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-TD-002,RACER's Off-Road Autonomous Vehicles Teams Navigate Third Test,Defense Advanced Research Projects Agency (DARPA),2023-04-11,https://www.darpa.mil/news/2023/off-road-autonomous-vehicles,official_test_news,A,application_maturity;integration_level;test_evaluation;organizational_system_fit,verified,candidate,T0 date verified; official report of a concrete autonomy test event.,,,04710abf3876d32c67e8a21a1c05fb06934f4cabeebfb1da3600b97f280f83a3,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-TD-003,A New Take on Modeling & Simulation for Improved Autonomy,Defense Advanced Research Projects Agency (DARPA),2023-10-17,https://www.darpa.mil/news/2023/modeling-simulation-autonomy,official_test_news,A,test_evaluation;application_maturity;engineering_resource_conditions,verified,candidate,T0 date verified; official modeling and simulation material relevant to autonomy evaluation.,,,dc7830361cc2db362af5c38ab540a2c44c573c7258569b1c0c5aab066032e790,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-TD-004,ACE Program Achieves World First for AI in Aerospace,Defense Advanced Research Projects Agency (DARPA),2024-04-17,https://www.darpa.mil/news/2024/ace-ai-aerospace,official_test_news,A,application_maturity;human_machine_authority;test_evaluation;integration_level,verified,candidate,T0 date verified; official report of live AI flight testing in a military aerospace context.,,,4a03e7ce5bf8d17272bedb8f60c4d11ac36a2c20170b64431edad792b99686ef,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-TD-005,DART and Coordinated Robotics Take Top Spots in the DARPA Triage Challenge Event 1,Defense Advanced Research Projects Agency (DARPA),2024-10-05,https://www.darpa.mil/news/2024/dart-coordinated-robotics,official_test_news,A,application_maturity;test_evaluation;human_machine_authority;organizational_system_fit,verified,candidate,T0 date verified; official robotics challenge and evaluation material.,,,e91372ebde8c8d898669c188d0727c95fb87f7c9cbbf1be14ac8427eae309709,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-TD-006,Onboard AI: Constraints and Limitations,"Center for Security and Emerging Technology (CSET), Georgetown University",2023-08-22,https://cset.georgetown.edu/publication/onboard-ai-constraints-and-limitations/,research_report,B,application_maturity;test_evaluation;engineering_resource_conditions;trust_governance_constraints,verified,candidate,T0 date verified; independent research relevant to constraints on embedded AI deployment.,,,b367c6c5050ee659690205205a25cd15889258f14b3b46d0ed918fe5525bee8cf0,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-IR-001,Exploring the Civil-Military Divide over Artificial Intelligence,RAND Corporation,2022-05-11,https://www.rand.org/pubs/research_reports/RRA1498-1.html,research_report,B,organizational_system_fit;engineering_resource_conditions;trust_governance_constraints,verified,candidate,T0 date verified; RAND independent research relevant to military adoption and civil-military workforce/organizational conditions.,,,6c7565883fca1e2107f1a579d50c67ea61dbd146791fc2cc09393073ccdaafc6,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-IR-002,Strategic competition in the age of AI: Emerging risks and opportunities from military use of artificial intelligence,RAND Corporation,2024-09-06,https://www.rand.org/pubs/research_reports/RRA3295-1.html,research_report,B,application_maturity;integration_level;trust_governance_constraints;organizational_system_fit,verified,candidate,T0 date verified; RAND independent research directly relevant to military AI competition and use.,,,641808216269f4fea887950828cd76ed3649dfc8fce09b2902a963bcfa93aad5,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-IR-003,AI Safety and Automation Bias,"Center for Security and Emerging Technology (CSET), Georgetown University",2024-11-20,https://cset.georgetown.edu/publication/ai-safety-and-automation-bias/,research_report,B,trust_governance_constraints;human_machine_authority;test_evaluation,verified,candidate,T0 date verified; independent research relevant to human reliance and safety constraints in AI use.,,,e38b4bd2b4419a005bbcd95d498bba5541a8d968bbe039ee023b1d63ef45a00b,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-IR-004,A Quantitative Assessment of Department of Defense S&T Publication Collaborations,"Center for Security and Emerging Technology (CSET), Georgetown University",2024-06-20,https://cset.georgetown.edu/publication/a-quantitative-assessment-of-department-of-defense-st-publication-collaborations/,research_report,B,organizational_system_fit;engineering_resource_conditions;supply_chain,verified,candidate,T0 date verified; independent assessment relevant to DoD research collaboration and capability-building networks.,,,55604e84027805c47973f4bffd789f27dd76d5b76f6036975f2be17209662643,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-IR-005,Building the Tech Coalition,"Center for Security and Emerging Technology (CSET), Georgetown University",2024-08-13,https://cset.georgetown.edu/publication/building-the-tech-coalition/,research_report,B,organizational_system_fit;cross_platform_coordination;supply_chain;engineering_resource_conditions,verified,candidate,T0 date verified; independent research relevant to defense technology coalition and integration conditions.,,,affeef9bd75dcd3bd49f8249d86612d7df14fa387aec4add33f64ee54613b958,Original webpage opened; metadata only; no excerpt or formal Evidence extracted.,,,,,,,,,,,,,,,
T0-SP-007,Responsible AI Strategy and Implementation Pathway,U.S. Department of Defense,2022-06,data/staging/t0_candidates/manual/2024-06-RAI-STRATEGY-IMPLEMENTATION-PATHWAY.pdf,official_strategy,A,trust_governance_constraints;human_machine_authority;application_maturity,verified_manual_metadata,candidate,P1b human-supplied PDF; metadata and page index accepted for later P2 review only.,,data/staging/t0_candidates/manual/2024-06-RAI-STRATEGY-IMPLEMENTATION-PATHWAY.pdf,cb30090fa1f7da0e4e469de160fa72b08bf9d13025e22c8be76578509fe66197,"P1b page-level intake only; no formal Evidence, hypothesis, or conclusion created.",2022-06,,within_t0,manual_pdf,strategy_policy,2024-06-RAI-STRATEGY-IMPLEMENTATION-PATHWAY.pdf,47,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/page_index/T0-SP-007.jsonl,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/document_cards/T0-SP-007.json,,,user_supplied_pdf_opened,verified_pdf_intake,opened_local_pdf,
T0-SP-008,"Data, Analytics, and Artificial Intelligence Adoption Strategy",U.S. Department of Defense,2023-06-27,data/staging/t0_candidates/manual/DOD_DATA_ANALYTICS_AI_ADOPTION_STRATEGY.pdf,official_strategy,A,data_enterprise_collaboration;organizational_system_fit;application_maturity,verified_manual_metadata,candidate,P1b human-supplied PDF; metadata and page index accepted for later P2 review only.,,data/staging/t0_candidates/manual/DOD_DATA_ANALYTICS_AI_ADOPTION_STRATEGY.pdf,25f3c9d42d62da71f6942ebe592211e385a442bd8a012dd08d64fc4b27e37436,"P1b page-level intake only; no formal Evidence, hypothesis, or conclusion created.",2023-06-27,2023-11-02,within_t0,manual_pdf,strategy_policy,DOD_DATA_ANALYTICS_AI_ADOPTION_STRATEGY.pdf,26,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/page_index/T0-SP-008.jsonl,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/document_cards/T0-SP-008.json,,,user_supplied_pdf_opened,verified_pdf_intake,opened_local_pdf,
T0-IR-006,"Artificial Intelligence: DOD Should Improve Strategies, Inventory Process, and Collaboration Guidance",U.S. Government Accountability Office,2022-03,data/staging/t0_candidates/manual/gao-22-105834.pdf,oversight_report,B,application_maturity;data_enterprise_collaboration;organizational_system_fit,verified_manual_metadata,candidate,P1b human-supplied PDF; metadata and page index accepted for later P2 review only.,,data/staging/t0_candidates/manual/gao-22-105834.pdf,a6c19f20a264dff4a691d0235813c30bc155e680c6290b6e208b5c471a3eb6a2,"P1b page-level intake only; no formal Evidence, hypothesis, or conclusion created.",,,within_t0,manual_pdf,independent_review,gao-22-105834.pdf,89,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/page_index/T0-IR-006.jsonl,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/document_cards/T0-IR-006.json,,,user_supplied_pdf_opened,verified_pdf_intake,opened_local_pdf,
T0-PB-007,Artificial Intelligence: DOD Needs Department-Wide Guidance to Inform Acquisitions,U.S. Government Accountability Office,2023-06,data/staging/t0_candidates/manual/gao-23-105850.pdf,oversight_report,B,acquisition_procurement;application_maturity;organizational_system_fit,verified_manual_metadata,candidate,P1b human-supplied PDF; metadata and page index accepted for later P2 review only.,,data/staging/t0_candidates/manual/gao-23-105850.pdf,cef3ddcfa6ccaaeaff8d4836cd45874e92a10944972b44ee0ffb185bf6fa5a0d,"P1b page-level intake only; no formal Evidence, hypothesis, or conclusion created.",,,within_t0,manual_pdf,program_budget,gao-23-105850.pdf,44,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/page_index/T0-PB-007.jsonl,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/document_cards/T0-PB-007.json,,,user_supplied_pdf_opened,verified_pdf_intake,opened_local_pdf,
T0-IR-007,Artificial Intelligence: Actions Needed to Improve DOD's Workforce Management,U.S. Government Accountability Office,2023-12,data/staging/t0_candidates/manual/gao-24-105645.pdf,oversight_report,B,engineering_resource_conditions;organizational_system_fit,verified_manual_metadata,candidate,P1b human-supplied PDF; metadata and page index accepted for later P2 review only.,,data/staging/t0_candidates/manual/gao-24-105645.pdf,8cf1506c9d50482c36926c07245a6eb0d0aa7e2527bf33a2007a2c393790fd5f,"P1b page-level intake only; no formal Evidence, hypothesis, or conclusion created.",,,within_t0,manual_pdf,independent_review,gao-24-105645.pdf,46,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/page_index/T0-IR-007.jsonl,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/document_cards/T0-IR-007.json,,,user_supplied_pdf_opened,verified_pdf_intake,opened_local_pdf,
T0-IR-008,Artificial Intelligence and National Security,Congressional Research Service,2020-11-10,data/staging/t0_candidates/manual/R45178.10.pdf,background_report,B,trust_governance_constraints;human_machine_authority;application_maturity,verified_manual_metadata,background_only,Retained as background-only metadata because it is outside the T0 window.,"Explicitly identified as the 2020-11-10 version, outside the 2022-01-01 to 2024-12-31 T0 window.",data/staging/t0_candidates/manual/R45178.10.pdf,4b4176781de4658543e0d5bade5003a88832c022cbeefecf7dde7d2774feb3e1,"P1b page-level intake only; no formal Evidence, hypothesis, or conclusion created.",,,excluded_pre_window,manual_pdf,independent_review,R45178.10.pdf,43,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/page_index/T0-IR-008.jsonl,D:/MasterDegree/CETC/研二/智能化+科技情报研究/代码实现/outputs/P1B-20260825T140911Z-manual/document_cards/T0-IR-008.json,,,user_supplied_pdf_opened,verified_pdf_intake,opened_local_pdf,
T0-TD-007,Cloud-based intel tool AIDP rolls out to Army units globally,"U.S. Army Program Executive Office Intelligence, Electronic Warfare & Sensors",2024-10-09,,official_service_application,A,application_maturity;organizational_system_fit;data_enterprise_collaboration,unverified_original_page,candidate,P1b coverage supplement; metadata only and awaiting P2 admission.,,,,Original page was not used as Evidence. See verification_status and manual_followup.,,,within_t0,coverage_recheck,test_deployment,,,,,https://news.google.com/rss/search?q=site%3Aarmy.mil%20AI%202024%20data%20platform&hl=en-US&gl=US&ceid=US%3Aen,cpeisw.army.mil,blocked_or_not_opened,blocked_or_not_opened,blocked_original_page,Open the original PEO IEW&S page and record its canonical URL and exact publication date before P2.
T0-TD-008,"IMSC Task Force Completes Maritime Exercise with Unmanned Systems, A.I.",International Maritime Security Construct / U.S. Naval Forces Central Command,2023-09-01,,official_combatant_command_application,A,application_maturity;human_machine_authority;organizational_system_fit,unverified_original_page,candidate,P1b coverage supplement; metadata only and awaiting P2 admission.,,,,Original page was not used as Evidence. See verification_status and manual_followup.,,,within_t0,coverage_recheck,test_deployment,,,,,https://news.google.com/rss/search?q=site%3Advidshub.net%2Fnews%20artificial%20intelligence%20Navy%202023&hl=en-US&gl=US&ceid=US%3Aen,dvidshub.net,blocked_or_not_opened,blocked_or_not_opened,blocked_original_page,Open the original DVIDS/NAVCENT page and capture page-level details; the RSS title/date is discovery metadata only.
T0-CDAO-001,The CDAO is at the Helm of the DoD's New Generative AI Task Force,Chief Digital and Artificial Intelligence Office (CDAO),2023-08-10,,official_cdao_application,A,governance;application_maturity;organizational_system_fit,unverified_original_page,candidate,P1b coverage supplement; metadata only and awaiting P2 admission.,,,,Original page was not used as Evidence. See verification_status and manual_followup.,,,within_t0,coverage_recheck,strategy_policy,,,,,https://news.google.com/rss/search?q=site%3Aai.mil%20CDAO%202024%20artificial%20intelligence&hl=en-US&gl=US&ceid=US%3Aen,ai.mil,blocked_or_not_opened,blocked_or_not_opened,blocked_original_page,Open the original ai.mil article and verify the exact date and canonical URL before P2.
T0-ENT-001,Global Force Information Management kicks off Phase 2 of data platform development,U.S. Department of Defense / DVIDS,2022-10-07,,official_enterprise_data_application,A,data_enterprise_collaboration;cross_component;organizational_system_fit,unverified_original_page,candidate,P1b coverage supplement; metadata only and awaiting P2 admission.,,,,Original page was not used as Evidence. See verification_status and manual_followup.,,,within_t0,coverage_recheck,test_deployment,,,,,https://news.google.com/rss/search?q=site%3Advidshub.net%2Fnews%20artificial%20intelligence%20Army%202023&hl=en-US&gl=US&ceid=US%3Aen,dvidshub.net,blocked_or_not_opened,blocked_or_not_opened,blocked_original_page,Open the original DVIDS page and verify whether the item describes a DoD-wide or component-level rollout.
T0-PB-008,"AI Cyber Challenge Opens Registration, Adds $4 Million in Prizes, Shows Scoring Algorithm and Challenge Exemplar",Defense Advanced Research Projects Agency (DARPA),2023-12-14,https://www.darpa.mil/news/2023/ai-cyber-challenge-opens,official_funding_challenge,A,acquisition_procurement;engineering_resource_conditions;test_evaluation,verified_original_page,candidate,P1b coverage supplement; metadata only and awaiting P2 admission.,,,,Original page was not used as Evidence. See verification_status and manual_followup.,,,within_t0,coverage_recheck,program_budget,,,,,https://news.google.com/rss/search?q=site%3Adarpa.mil%2Fnews%2F2023%2Fai-cyber-challenge-opens&hl=en-US&gl=US&ceid=US%3Aen,darpa.mil,verified_original_page,verified_original_page,opened_original_page,P2 may decide whether the prize mechanism is relevant to the budget/procurement dimension; no Evidence was extracted in P1b.
T0-IR-009,The DOD and the U.S. Tech Sector Relationship,"Center for Security and Emerging Technology (CSET), Georgetown University",2022-08-31,https://cset.georgetown.edu/publication/dod-and-the-u-s-tech-sector-relationship/,research_report,B,acquisition_procurement;data_enterprise_collaboration;organizational_system_fit,verified_original_page,candidate,P1b coverage supplement; metadata only and awaiting P2 admission.,,,,Original page was not used as Evidence. See verification_status and manual_followup.,,,within_t0,coverage_recheck,program_budget,,,,,"https://cset.georgetown.edu/wp-json/wp/v2/document?search=Task%20Force%2059&after=2022-01-01T00%3A00%3A00&before=2024-12-31T23%3A59%3A59&per_page=20&_fields=id,date,link,title,slug",cset.georgetown.edu,verified_original_page,verified_original_page,opened_original_page,P2 should assess relevance from the original publication page and any linked report; no Evidence was extracted in P1b.
