source_id,title,publisher,published_at,url_or_path,material_type,source_grade,possible_coding_dimensions,date_status,selection_status,inclusion_reason,exclusion_reason,local_path,content_hash,notes
T0-PB-006,"Examining Key Tech Areas in Government Contracts Data","Center for Security and Emerging Technology (CSET), Georgetown University",2023-07-06,https://cset.georgetown.edu/publication/examining-key-tech-areas-in-government-contracts-data/,research_report,B,"budget;procurement_deployment;supply_chain;engineering_resource_conditions",verified,candidate,"T0 date verified; independent contract-data research relevant to technology acquisition.",,,2ec9612ac07a9ddc4909ed3c493adbffb7b1cb5d19c25d1a459a9998522e765c,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-TD-001,"RACER Revs Up for Checkered Flag Goal of High-Speed, Off-Road Autonomy","Defense Advanced Research Projects Agency (DARPA)",2022-01-13,https://www.darpa.mil/news/2022/racer-off-road-autonomy,official_test_news,A,"application_maturity;integration_level;human_machine_authority;test_evaluation",verified,candidate,"T0 date verified; official field-experiment and autonomy-test material.",,,7426379f5dfb01c6c15a3e8d2a8a4bedd9a536ba5635891dd8bacfac410083f7,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-TD-002,"RACER's Off-Road Autonomous Vehicles Teams Navigate Third Test","Defense Advanced Research Projects Agency (DARPA)",2023-04-11,https://www.darpa.mil/news/2023/off-road-autonomous-vehicles,official_test_news,A,"application_maturity;integration_level;test_evaluation;organizational_system_fit",verified,candidate,"T0 date verified; official report of a concrete autonomy test event.",,,04710abf3876d32c67e8a21a1c05fb06934f4cabeebfb1da3600b97f280f83a3,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-TD-003,"A New Take on Modeling & Simulation for Improved Autonomy","Defense Advanced Research Projects Agency (DARPA)",2023-10-17,https://www.darpa.mil/news/2023/modeling-simulation-autonomy,official_test_news,A,"test_evaluation;application_maturity;engineering_resource_conditions",verified,candidate,"T0 date verified; official modeling and simulation material relevant to autonomy evaluation.",,,dc7830361cc2db362af5c38ab540a2c44c573c7258569b1c0c5aab066032e790,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-TD-004,"ACE Program Achieves World First for AI in Aerospace","Defense Advanced Research Projects Agency (DARPA)",2024-04-17,https://www.darpa.mil/news/2024/ace-ai-aerospace,official_test_news,A,"application_maturity;human_machine_authority;test_evaluation;integration_level",verified,candidate,"T0 date verified; official report of live AI flight testing in a military aerospace context.",,,4a03e7ce5bf8d17272bedb8f60c4d11ac36a2c20170b64431edad792b99686ef,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-TD-005,"DART and Coordinated Robotics Take Top Spots in the DARPA Triage Challenge Event 1","Defense Advanced Research Projects Agency (DARPA)",2024-10-05,https://www.darpa.mil/news/2024/dart-coordinated-robotics,official_test_news,A,"application_maturity;test_evaluation;human_machine_authority;organizational_system_fit",verified,candidate,"T0 date verified; official robotics challenge and evaluation material.",,,e91372ebde8c8d898669c188d0727c95fb87f7c9cbbf1be14ac8427eae309709,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-TD-006,"Onboard AI: Constraints and Limitations","Center for Security and Emerging Technology (CSET), Georgetown University",2023-08-22,https://cset.georgetown.edu/publication/onboard-ai-constraints-and-limitations/,research_report,B,"application_maturity;test_evaluation;engineering_resource_conditions;trust_governance_constraints",verified,candidate,"T0 date verified; independent research relevant to constraints on embedded AI deployment.",,,b367c6c5050ee659690205205a25cd15889258f14b3b46d0ed918fe5525bee8cf0,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-IR-001,"Exploring the Civil-Military Divide over Artificial Intelligence","RAND Corporation",2022-05-11,https://www.rand.org/pubs/research_reports/RRA1498-1.html,research_report,B,"organizational_system_fit;engineering_resource_conditions;trust_governance_constraints",verified,candidate,"T0 date verified; RAND independent research relevant to military adoption and civil-military workforce/organizational conditions.",,,6c7565883fca1e2107f1a579d50c67ea61dbd146791fc2cc09393073ccdaafc6,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-IR-002,"Strategic competition in the age of AI: Emerging risks and opportunities from military use of artificial intelligence","RAND Corporation",2024-09-06,https://www.rand.org/pubs/research_reports/RRA3295-1.html,research_report,B,"application_maturity;integration_level;trust_governance_constraints;organizational_system_fit",verified,candidate,"T0 date verified; RAND independent research directly relevant to military AI competition and use.",,,641808216269f4fea887950828cd76ed3649dfc8fce09b2902a963bcfa93aad5,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-IR-003,"AI Safety and Automation Bias","Center for Security and Emerging Technology (CSET), Georgetown University",2024-11-20,https://cset.georgetown.edu/publication/ai-safety-and-automation-bias/,research_report,B,"trust_governance_constraints;human_machine_authority;test_evaluation",verified,candidate,"T0 date verified; independent research relevant to human reliance and safety constraints in AI use.",,,e38b4bd2b4419a005bbcd95d498bba5541a8d968bbe039ee023b1d63ef45a00b,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-IR-004,"A Quantitative Assessment of Department of Defense S&T Publication Collaborations","Center for Security and Emerging Technology (CSET), Georgetown University",2024-06-20,https://cset.georgetown.edu/publication/a-quantitative-assessment-of-department-of-defense-st-publication-collaborations/,research_report,B,"organizational_system_fit;engineering_resource_conditions;supply_chain",verified,candidate,"T0 date verified; independent assessment relevant to DoD research collaboration and capability-building networks.",,,55604e84027805c47973f4bffd789f27dd76d5b76f6036975f2be17209662643,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-IR-005,"Building the Tech Coalition","Center for Security and Emerging Technology (CSET), Georgetown University",2024-08-13,https://cset.georgetown.edu/publication/building-the-tech-coalition/,research_report,B,"organizational_system_fit;cross_platform_coordination;supply_chain;engineering_resource_conditions",verified,candidate,"T0 date verified; independent research relevant to defense technology coalition and integration conditions.",,,affeef9bd75dcd3bd49f8249d86612d7df14fa387aec4add33f64ee54613b958,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
