evidence_id,source_id,source_locator,evidence_nature,normalized_claim,coding_dimensions,excerpt_original,excerpt_zh,pending_visual_review,pending_translation_review,ai_recommendation,final_decision,final_nature,final_dimensions,human_corrected_excerpt,reviewer,reviewed_at,review_note
EV-T0-A42AF7A5AE2B6DAD,T0-PB-007,pdf_page_29,deployment_event,国防创新单元创建了多份人工智能工作表，以帮助开发者使其项目符合国防部的伦理人工智能原则。,"[""trust_governance_constraints""]",The Defense Innovation Unit created several AI worksheets that walk developers through questions to help them align their AI projects with DOD’s ethical AI principles.,国防创新单元创建了多份人工智能工作表，引导开发者通过一系列问题，帮助其人工智能项目与国防部的伦理人工智能原则保持一致。,False,True,candidate_only,,,,,,,
EV-T0-2E42D28FCCBD88DD,T0-PB-007,pdf_page_29,deployment_event,在五个军种中，空军发布了针对人工智能的采办资源，即空军-麻省理工学院人工智能采办指南。,"[""organizational_system_fit""]","Of the five military services, the Air Force has published AI-specific acquisition resources—specifically, the Air Force-Massachusetts Institute of Technology AI Acquisition Guidebook.",在五个军种中，空军发布了针对人工智能的采办资源——具体而言，即空军-麻省理工学院人工智能采办指南。,False,True,candidate_only,,,,,,,
EV-T0-0A73030BBF2649F9,T0-SP-007,pdf_page_17,goal,首席数字与人工智能办公室作为联合人工智能中心继任机构，牵头协调国防部人工智能指导和政策实施与监督。,"[""organizational_system_fit""]","As outlined in the RAl Memo, the Office of the Chief Digital and Artificial Intelligence Officer (CDAO), as the successor organization to the Joint Artificial Imelligence Center (JAJC), serves as the Depaitment's lead for coordinating the implementation and oversight of guidance and policy on Al, including RAT and the DoD A l Ethical Principles.",如负责任人工智能备忘录所述，首席数字与人工智能办公室作为联合人工智能中心的继任组织，是国防部协调人工智能指导和政策实施与监督的牵头机构，包括负责任人工智能和国防部人工智能伦理原则。,True,True,candidate_only,,,,,,,
EV-T0-903F4A6639DA3CEC,T0-SP-007,pdf_page_18,goal,国防部负责任人工智能实施采用集中协调政策与分散执行相结合的方式，各组成部分需在现有工作流程中优化整合。,"[""organizational_system_fit""]","Centralized, DoD-wide coordination of DoD RAI policies and guidance is critical to establishing interoperability, consistent guidelines and approaches, sharing best practices, and identifying opportunities for collaboration. At the same time, DoD Components must optimize integration of RAI w ithin the context of their existing workflows, structures, and processes.",国防部范围内对负责任人工智能政策和指导的集中协调对于建立互操作性、一致的指导方针和方法、分享最佳实践以及识别合作机会至关重要。同时，国防部各组成部分必须在其现有工作流程、结构和流程背景下优化负责任人工智能的整合。,True,True,candidate_only,,,,,,,
EV-T0-2EEA5ADBB7CFF58C,T0-SP-007,pdf_page_18,goal,国防部人工智能开发采用融合风险管理最佳实践的方法，以在坚持安全、可靠和伦理标准的同时利用尖端技术。,"[""trust_governance_constraints"", ""engineering_resource_conditions""]","Due to continuous advancements in Al research and the dynamic nature of emerging Al strategies, an approach to ATd evelopment that incorporates existing risk management best practices affords the DoD the flexibility to leverage cutting-edge technology while adhering to our standards for safety, reliability, and eth ics.",由于人工智能研究的持续进步和新兴人工智能战略的动态性，采用融合现有风险管理最佳实践的人工智能开发方法，使国防部能够在坚持安全、可靠和伦理标准的同时，灵活利用尖端技术。,True,True,candidate_only,,,,,,,
EV-T0-582B12D4B09F11B1,T0-SP-007,pdf_page_24,goal,美国国防部计划制定一个测试与评估框架，将测试与评估贯穿AI能力生命周期，并建立持续测试的路径和文档报告标准。,"[""trust_governance_constraints""]",LOE 2.1.1: Develop a TEW framework to articulate how test and CDAO in coordination evaluation (T& E) should be intertwined across an Al capability's with OUSD(R&E) and lifecycle and pathways for continuous testing and standards for DOT&E documentation and reporting.,LOE 2.1.1：制定TEW框架，阐明测试与评估（T&E）应如何贯穿AI能力的生命周期，并建立持续测试的路径和文档与报告的标准化。,True,True,candidate_only,,,,,,,
EV-T0-BD7126374D17DC2A,T0-SP-007,pdf_page_24,goal,美国国防部计划开发或采购AI测试与评估工具包，供AI开发者和测试者使用，并借鉴工业界和学术界的创新研究。,"[""engineering_resource_conditions"", ""trust_governance_constraints""]","LOE 2.1.2: Develop or acquire Al-related T&E tools to be used as a CDAO in coordination resource for Al developers and testers. This AI T &E Toolkit shall with OUSD(R&E) and draw upon best practices and innovative research from industry and DOT&E the academic community, as well as commercially available technology where appropriate.",LOE 2.1.2：开发或采购AI相关的测试与评估工具，作为AI开发者和测试者的资源。该AI测试与评估工具包应借鉴工业界和学术界的创新研究及商业可用技术。,True,True,candidate_only,,,,,,,
EV-T0-DD07FB77153E22F0,T0-SP-007,pdf_page_26,goal,美国国防部计划要求AI供应商和开发者在能力部署前提供适当的培训和文档，以确保作战人员理解能力的功能、风险、性能预期和潜在危害。,"[""trust_governance_constraints""]","LOE 2.2.1: Require Al vendors and developers to plan for, resource, DoD Component RAJ and provide appropriate training and documentation, such as user Leads manuals, to be used prior to capability fielding in order to e ns ure warfighters are equipped with a n appropriate understanding of the capability' s function, risks, performance expectations, and potential harms.",LOE 2.2.1：要求AI供应商和开发者在能力部署前规划、提供适当的培训和文档（如用户手册），以确保作战人员对能力的功能、风险、性能预期和潜在危害有适当的理解。,True,True,candidate_only,,,,,,,
EV-T0-34D72CBB40FC6006,T0-SP-007,pdf_page_27,goal,美国国防部计划制定一个采办工具包，借鉴国防部企业、工业界和学术界的创新研究及商业可用技术。,"[""engineering_resource_conditions""]","LOE 3.1.1: Develop an Acquisitio n Toolkit that draws upon best CDAO in coordination practices and innovative research from the DoD enterprise, industry, with OUSD(A&S) and and the academic community, as well as commercially avai lable OUSD(R&E) technology where appropriate.",LOE 3.1.1：制定一个采办工具包，借鉴国防部企业、工业界和学术界的创新研究以及商业可用技术。,True,True,candidate_only,,,,,,,
EV-T0-27370C837C885AEE,T0-SP-008,pdf_page_14,goal,国防部各组成部门将集中某些AI开发平台，用于持续实验和部署，并最大化采用负责任的AI共享服务。,"[""engineering_resource_conditions"", ""organizational_system_fit""]","Thus, DoD Components will seek to centralize certain AI development platforms for continuous experimentation and deployment, and then maximize the adoption of responsible AI shared services.",因此，国防部各组成部门将寻求集中某些AI开发平台，以进行持续实验和部署，然后最大限度地采用负责任的AI共享服务。,True,True,candidate_only,,,,,,,
EV-T0-F8E3070F89D94D25,T0-SP-008,pdf_page_12,goal,国防部将开展持续实验和综合多边演习，以支持可互操作的企业级作战能力的投资决策。,"[""integration_level"", ""application_maturity""]","The Department will conduct continuous experiments, and integrated multi-lateral exercises with high-impact Joint Force use cases that can inform additional investments in interoperable enterprise-level, warfighting capabilities.",该部门将开展持续实验，以及针对高影响力联合作战用例的综合多边演习，这些演习可为可互操作的企业级作战能力的额外投资提供信息。,True,True,candidate_only,,,,,,,
EV-T0-CB164026EB3FFB62,T0-SP-008,pdf_page_12,goal,经过严格测试被认为成功的能力将获得明确的维持和大规模采用途径。,"[""application_maturity"", ""trust_governance_constraints""]",Capabilities deemed successful after rigorous testing will receive clear pathways to sustainment and wide-scale adoption.,经过严格测试被认为成功的能力将获得明确的维持和大规模采用途径。,True,True,candidate_only,,,,,,,
EV-T0-A72CF94353B280D6,T0-SP-008,pdf_page_13,goal,国防部将投资于充足、灵活、安全且可联合互操作的基础设施。,"[""engineering_resource_conditions"", ""integration_level""]","The Department will invest in abundant, flexible, secure, and jointly interoperable infrastructure that is scalable for the needs of users.",该部门将投资于充足、灵活、安全且可联合互操作的基础设施，以满足用户的可扩展需求。,True,True,candidate_only,,,,,,,
EV-T0-5EA556C2C939C121,T0-SP-008,pdf_page_15,goal,国防部领导人将优先采用已由联合或部门赞助的解决方案，其次才考虑公开市场能力。,"[""engineering_resource_conditions"", ""organizational_system_fit""]",DoD leaders will first seek to adopt solutions that are already Joint- or Component-sponsored before exploring capabilities available on the open market.,国防部领导人将首先寻求采用已由联合或部门赞助的解决方案，然后再探索公开市场上可用的能力。,True,True,candidate_only,,,,,,,
EV-T0-62B1ECDA7DF87F1A,T0-SP-008,pdf_page_25,evaluation,缺乏基于经测试标准的组织化方法，各组成部门将难以达到满足人工智能需求所需的数据质量水平。,"[""engineering_resource_conditions""]","Absent an organized approach based on tested criteria, Components will face significant challenges developing the level of data quality required to address analytics and artificial intelligence requirements.",若无基于经测试标准的组织化方法，各组成部门在达到满足分析与人工智能需求所需的数据质量水平方面将面临重大挑战。,True,True,candidate_only,,,,,,,
EV-T0-DB4536B8270ECF58,T0-TD-004,web_paragraph_0009,test_event,ACE项目首次实现了AI算法自主驾驶F-16与人类驾驶的F-16进行视距内空战测试。,"[""application_maturity"", ""human_machine_authority""]",DARPA’s Air Combat Evolution (ACE) program has achieved the first-ever in-air tests of AI algorithms autonomously flying an F-16 against a human-piloted F-16 in within-visual-range combat scenarios (sometimes referred to as “dogfighting”).,DARPA的“空战演进”（ACE）项目实现了首次在空中测试中，AI算法自主驾驶F-16与人类驾驶的F-16进行视距内空战（有时称为“狗斗”）。,False,True,candidate_only,,,,,,,
EV-T0-7B65174669ACA9CE,T0-TD-004,web_paragraph_0011,test_event,ACE AI算法在2023年及2024年持续于爱德华兹空军基地控制X-62A测试飞机进行自主空战机动演示。,"[""application_maturity"", ""integration_level""]","In flight, the ACE AI algorithms controlled a specially modified F-16 test aircraft known as the X-62A, or VISTA (Variable In-flight Simulator Test Aircraft), at the Air Force Test Pilot School at Edwards Air Force Base, California, where all demonstrations of autonomous combat maneuvers took place in 2023 and are continuing in 2024.",在飞行中，ACE AI算法控制了一架经过特殊改装的F-16测试飞机，即X-62A，或VISTA（可变飞行模拟器测试飞机），在加利福尼亚州爱德华兹空军基地的空军试飞员学校，所有自主空战机动演示于2023年进行，并持续到2024年。,False,True,candidate_only,,,,,,,
EV-T0-30E9B209F0439B21,T0-TD-004,web_paragraph_0007,test_result,AI与人类驾驶的F-16之间的空中作战测试显示了人机编队和可信自主的变革性进展。,"[""human_machine_authority"", ""trust_governance_constraints""]",In-air combat tests between AI- and human-piloted F-16s show transformational progress for human-machine teaming and trusted autonomy,AI与人类驾驶的F-16之间的空中作战测试显示了人机编队和可信自主的变革性进展。,False,True,candidate_only,,,,,,,
EV-T0-F67161443E222AE4,T0-TD-006,web_paragraph_0011,goal,机载AI被定义为直接在设备或系统上运行AI，无需额外的后端计算支持。,"[""integration_level"", ""engineering_resource_conditions""]",This is the challenge of ‘onboard AI’: running AI directly on a device or system without additional backend compute support.,这就是‘机载AI’的挑战：直接在设备或系统上运行AI，而无需额外的后端计算支持。,False,True,candidate_only,,,,,,,
EV-T0-AD4CCAC18E1BB26C,T0-TD-006,web_paragraph_0012,constraint,机载AI系统的主要限制因素是处理速度。,"[""engineering_resource_conditions""]","Onboard AI systems are constrained for several reasons, but the primary factor is processing speed.",机载AI系统受到多种因素的限制，但主要因素是处理速度。,False,True,candidate_only,,,,,,,
EV-T0-26CBA9EE14D71B2D,T0-TD-006,web_paragraph_0013,constraint,机载AI系统需要大量的工作内存。,"[""engineering_resource_conditions""]",Onboard AI systems also need substantial working memory.,机载AI系统还需要大量的工作内存。,False,True,candidate_only,,,,,,,
EV-T0-C13F259540C77BFA,T0-TD-006,web_paragraph_0014,constraint,机载AI的限制受到系统尺寸、重量和功率限制的影响。,"[""engineering_resource_conditions""]","These constraints are influenced by the size, weight, and power limitations of many systems.",这些限制受到许多系统的尺寸、重量和功率限制的影响。,False,True,candidate_only,,,,,,,
EV-T0-850EF492D703EA37,T0-TD-006,web_paragraph_0016,constraint,在许多情况下，机载AI的性能将不如最先进的模型。,"[""application_maturity"", ""engineering_resource_conditions""]","However, in many cases, onboard AI will be inferior to the state-of-the-art models that grab headlines or achieve high-level performance on benchmarks.",然而，在许多情况下，机载AI将不如那些登上头条或在基准测试中取得高水平性能的最先进模型。,False,True,candidate_only,,,,,,,
EV-T0-A8459E6E8776A15D,T0-TD-007,web_paragraph_0006,deployment_event,陆军在不到12个月内向所有优先战区部署并投入使用AIDP。,"[""application_maturity"", ""integration_level""]","The Army deployed and operationalized AIDP rapidly to units in all priority theaters in under 12 months, showing just how important this new and improved intel tool is to Soldiers and DoD.",陆军在不到12个月的时间内迅速向所有优先战区部署并投入使用AIDP，这表明这一新的改进型情报工具对士兵和国防部的重要性。,False,True,candidate_only,,,,,,,
EV-T0-79B653E22A3D4EF4,T0-TD-007,web_paragraph_0007,test_event,24个月前，AIDP正在美国国内情报部队中进行压力测试和微调。,"[""application_maturity""]","“24 months ago, we were testing AIDP with intel units stateside trying to stress the system and fine tune the system to meet the needs of intel soldiers,” Brig. Gen. Ed Barker, the Program Executive Officer for Intelligence, Electronic Warfare, and Sensors said.",“24个月前，我们正与国内情报部队一起测试AIDP，试图对系统进行压力测试并微调系统以满足情报士兵的需求，”情报、电子战和传感器项目执行官Ed Barker准将说。,False,True,candidate_only,,,,,,,
EV-T0-B33EF9F7AA480E81,T0-TD-007,web_paragraph_0012,deployment_event,AIDP是首个在陆军情报云环境中全面部署的主要陆军情报项目。,"[""application_maturity"", ""integration_level""]","Additionally, AIDP is the first major Army Intel program to fully deploy in the Army Intel Cloud environment.",此外，AIDP是第一个在陆军情报云环境中全面部署的主要陆军情报项目。,False,True,candidate_only,,,,,,,
EV-T0-F0773C8E2ECB5C8D,T0-TD-008,web_paragraph_0007,test_event,IMSC在阿拉伯湾完成了一次为期三天的海上演习，整合了无人系统和人工智能，这是六个月内第二次此类演习。,"[""integration_level"", ""application_maturity""]","The International Maritime Security Construct (IMSC) completed a three-day maritime exercise in the Arabian Gulf, Jan. 9, integrating unmanned systems and artificial intelligence during a naval drill for the second time in six months.",国际海上安全构架（IMSC）于1月9日在阿拉伯湾完成了一次为期三天的海上演习，这是六个月内第二次在海军演习中整合无人系统和人工智能。,False,True,candidate_only,,,,,,,
